order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI03857,2018-03-19,10:32:06,Breakfast,NS,"[('Cereal', 9), ('Eggs', 6), ('Pancake', 1)]",345.25,-37.8173844,144.9674523,0,8.31,13.335614800000002
ORDY09223,2018-04-06,11:02:32,Breakfast,TP,"[('Cereal', 2), ('Coffee', 6), ('Pancake', 1)]",111.25,-37.818345799999996,144.96413969999998,0,7.619,10.6710294
ORDK04376,2018-07-15,14:25:21,Lunch,BK,"[('Fries', 5), ('Salad', 7), ('Chicken', 3), ('Steak', 2), ('Burger', 10)]",676.4,-37.820181700000006,144.957557,0,8.357000000000001,16.4070787
ORDK00083,2018-12-30,20:00:00,Dinner,BK,"[('Pasta', 6), ('Fish&Chips', 6), ('Salmon', 2), ('Shrimp', 2)]",565.0,-37.806506899999995,144.96149430000003,0,7.563,17.3163282
ORDZ03286,2018-07-17,14:25:21,Lunch,NS,"[('Chicken', 6), ('Steak', 8)]",552.0,-37.819777200000004,144.9437517,0,9.859,7.7174356466274885
ORDK04674,2018-03-30,10:52:23,Breakfast,BK,"[('Cereal', 4), ('Coffee', 3), ('Pancake', 5)]",227.75,-37.8162393,144.9640706,0,7.757999999999999,12.6997023
ORDJ10004,2018-05-18,12:33:48,Lunch,TP,"[('Fries', 3), ('Chicken', 10), ('Salad', 1)]",373.2,-37.8148074,144.95762390000002,0,8.298,11.2155371
ORDA09348,2018-08-30,15:56:37,Lunch,BK,"[('Salad', 3), ('Burger', 2), ('Fries', 9), ('Chicken', 5)]",381.6,-37.8265116,144.9556104,0,8.971,14.5742256
ORDZ02775,2018-12-17,19:39:43,Dinner,NS,"[('Pasta', 2), ('Salmon', 6)]",301.0,-37.8056528,144.95108290000002,0,8.437000000000001,14.2844161
ORDC02485,2018-12-19,19:39:43,Dinner,NS,"[('Fish&Chips', 1), ('Pasta', 1)]",62.5,-37.8254275,144.98980459999999,0,9.812999999999999,16.1090679
ORDK09420,2018-01-17,08:30:25,Breakfast,BK,"[('Cereal', 1), ('Coffee', 7), ('Pancake', 2)]",122.0,-37.8063165,144.9559998,1,8.093,6.4682487
ORDX10258,2018-05-09,12:13:31,Lunch,BK,"[('Steak', 5), ('Salad', 2)]",259.4,-37.8165726,144.9870015,0,5.865,5.824354550651858
ORDA03875,2018-08-26,15:46:28,Lunch,BK,"[('Burger', 3), ('Chicken', 5)]",253.0,-37.8124141,144.9385708,0,10.439,18.920999600000002
ORDZ03351,2018-03-10,10:11:49,Breakfast,NS,"[('Cereal', 9), ('Pancake', 4), ('Eggs', 7)]",440.0,-37.819844599999996,144.94491000000002,0,9.802999999999999,17.0004323
ORDX07176,2018-02-16,09:31:16,Breakfast,BK,"[('Cereal', 10), ('Eggs', 10), ('Coffee', 1)]",437.5,-37.805684899999996,144.9280772,0,10.937000000000001,16.1658659
ORDZ07623,2018-08-14,15:26:11,Lunch,NS,"[('Fries', 3), ('Burger', 2), ('Steak', 1)]",143.0,-37.808336600000004,144.9751971,0,7.28,12.718154400000001
ORDA05613,2018-11-13,18:28:43,Dinner,BK,"[('Fish&Chips', 2), ('Pasta', 4), ('Shrimp', 3), ('Salmon', 2)]",424.0,-37.806425899999994,144.9439917,0,9.446,15.8886568
ORDY10599,2018-07-22,14:35:29,Lunch,TP,"[('Steak', 3), ('Burger', 3), ('Salad', 2), ('Chicken', 2), ('Fries', 3)]",362.4,-37.809031,144.9475493,0,9.732999999999999,14.8531204
ORDC00792,2018-12-10,19:19:26,Dinner,NS,"[('Shrimp', 7), ('Salmon', 2), ('Fish&Chips', 9), ('Pasta', 10)]",1050.0,-37.8031089,145.00345359999997,0,9.251,15.3123215
ORDK08643,2018-11-22,18:49:00,Dinner,BK,"[('Fish&Chips', 1), ('Salmon', 4), ('Pasta', 6)]",364.0,-37.8114812,144.9732528,0,6.807,13.5526578
ORDY09630,2018-10-19,17:38:01,Dinner,TP,"[('Salmon', 5), ('Pasta', 9)]",452.5,-37.799726799999995,144.92549440000002,0,11.856,7.759338160351724
ORDJ03071,2018-11-28,18:59:09,Dinner,TP,"[('Fish&Chips', 2), ('Pasta', 1), ('Shrimp', 6)]",421.5,-37.823886200000004,145.01031719999997,0,11.479000000000001,15.1443671
ORDJ05561,2018-05-22,12:33:48,Lunch,TP,"[('Salad', 3), ('Chicken', 5), ('Fries', 5)]",271.6,-37.7992172,145.0095819,0,12.822000000000001,15.253968400000002
ORDZ10596,2018-04-08,11:12:40,Breakfast,NS,"[('Pancake', 8)]",194.0,-37.812519099999996,145.0132056,0,10.687999999999999,17.9526715
ORDI09235,2018-04-27,11:43:05,Breakfast,TP,"[('Cereal', 2), ('Coffee', 3)]",64.5,-37.8005886,144.94245869999997,0,8.746,11.425473172447216
ORDI05313,2018-09-15,16:27:02,Dinner,NS,"[('Fish&Chips', 4), ('Pasta', 10)]",415.0,-37.8102031,144.9937946,0,8.923,17.010997800000002
ORDJ03468,2018-08-05,15:05:54,Lunch,TP,"[('Salad', 4)]",68.8,-37.8164523,144.949172,0,9.068999999999999,13.993105400000001
ORDZ05888,2018-06-29,13:54:55,Lunch,NS,"[('Salad', 4), ('Steak', 6), ('Burger', 1)]",369.8,-37.825323600000004,145.0124101,0,11.769,17.806943899999997
ORDB10210,2018-08-09,15:16:03,Lunch,TP,"[('Fries', 9), ('Salad', 3), ('Steak', 9), ('Chicken', 10), ('Burger', 8)]",1132.6,-37.7992037,144.963131,0,9.915,13.4992887
ORDJ06303,2018-10-14,17:27:53,Dinner,TP,"[('Pasta', 10), ('Shrimp', 7), ('Fish&Chips', 10)]",1003.0,-37.8193166,144.9621428,0,8.08,14.1154005
ORDB06419,2018-01-12,08:20:16,Breakfast,TP,"[('Pancake', 8), ('Eggs', 9), ('Cereal', 7), ('Coffee', 6)]",584.0,-37.8211448,144.94743559999998,1,8.978,6.0559582
ORDC10096,2018-04-27,11:43:05,Breakfast,NS,"[('Pancake', 5), ('Coffee', 3), ('Cereal', 4), ('Eggs', 3)]",293.75,-37.8119045,145.0035363,0,9.883,14.9321042
ORDA00952,2018-06-09,13:14:21,Lunch,BK,"[('Chicken', 6), ('Steak', 4), ('Salad', 4)]",440.8,-37.7993149,144.9602499,0,8.447000000000001,16.6358685
ORDZ05004,2018-12-13,19:29:34,Dinner,NS,"[('Shrimp', 9), ('Fish&Chips', 2), ('Salmon', 4), ('Pasta', 4)]",830.0,-37.817798100000005,144.93176830000002,0,9.527999999999999,15.4862356
ORDA07651,2018-05-13,12:23:39,Lunch,BK,"[('Chicken', 6), ('Fries', 7), ('Burger', 3), ('Salad', 7), ('Steak', 4)]",669.4,-37.8190083,144.9618741,0,7.946,15.960228899999999
ORDY06261,2018-01-03,08:00:00,Breakfast,TP,"[('Cereal', 1), ('Eggs', 9)]",219.0,-37.8019774,145.0155861,1,13.774000000000001,7.5014578
ORDI01491,2018-07-31,14:55:46,Lunch,NS,"[('Salad', 9), ('Fries', 4)]",202.79999999999998,-37.8129595,145.0155703,0,12.083,17.6825068
ORDB10706,2018-12-14,19:29:34,Dinner,TP,"[('Shrimp', 10), ('Salmon', 2)]",622.0,-37.8191693,145.01536090000002,0,12.706,16.4824129
ORDY00847,2018-02-07,09:10:59,Breakfast,TP,"[('Eggs', 3), ('Coffee', 1), ('Cereal', 4), ('Pancake', 9)]",375.75,-37.824872799999994,144.9889915,0,9.257,11.6527692
ORDX04951,2018-02-23,09:41:24,Breakfast,BK,"[('Eggs', 5), ('Coffee', 5), ('Pancake', 9)]",365.75,-37.806713099999996,144.9326503,0,10.374,15.3338356
ORDY10093,2018-01-22,08:40:33,Breakfast,TP,"[('Eggs', 3), ('Cereal', 7)]",213.0,-37.8067779,144.97348190000002,0,9.376,11.9015546
ORDK06078,2018-11-29,18:59:09,Dinner,BK,"[('Shrimp', 10), ('Fish&Chips', 7), ('Salmon', 2)]",867.0,-37.8131367,145.014217,0,3.758,10.1429656
ORDJ05953,2018-12-10,19:19:26,Dinner,TP,"[('Fish&Chips', 4), ('Pasta', 8)]",360.0,-37.8252426,144.9483362,0,8.765,13.082904199999998
ORDI09754,2018-07-02,14:05:04,Lunch,NS,"[('Burger', 1), ('Salad', 9), ('Steak', 1), ('Fries', 2), ('Chicken', 9)]",542.8,-37.810661200000006,144.96445409999998,0,7.502000000000001,13.137070300000001
ORDB10044,2018-09-07,16:16:54,Dinner,TP,"[('Pasta', 8), ('Fish&Chips', 5), ('Salmon', 5)]",600.0,-37.8036633,144.9626737,0,9.373,13.472690099999998
ORDZ03798,2018-04-21,11:32:57,Breakfast,NS,"[('Cereal', 8), ('Pancake', 4), ('Eggs', 1), ('Coffee', 1)]",294.5,-37.81883079999999,144.9533814,0,9.229,8.089167290190534
ORDY08984,2018-09-16,16:37:10,Dinner,TP,"[('Pasta', 10), ('Shrimp', 2)]",383.0,-37.816326200000006,144.96404750000002,0,7.767,13.725430900000001
ORDI05602,2018-04-27,11:43:05,Breakfast,NS,"[('Coffee', 10), ('Eggs', 8), ('Cereal', 7), ('Pancake', 9)]",616.25,-37.8124771,145.00383480000002,0,9.952,15.0276044
ORDX06526,2018-10-11,17:17:44,Dinner,BK,"[('Salmon', 2), ('Fish&Chips', 3), ('Pasta', 6), ('Shrimp', 6)]",676.0,-37.8120825,144.95336569999998,0,8.427,15.052950099999999
ORDI03131,2018-03-11,10:11:49,Breakfast,NS,"[('Coffee', 10), ('Pancake', 4), ('Eggs', 8)]",348.0,-37.8019156,144.9635917,0,6.864,14.345295499999999
ORDZ10582,2018-07-30,14:55:46,Lunch,NS,"[('Chicken', 6), ('Fries', 2), ('Steak', 7), ('Burger', 4)]",655.0,-37.8027369,145.0021591,0,9.125,14.7649872
ORDI01408,2018-11-24,18:49:00,Dinner,NS,"[('Salmon', 8), ('Shrimp', 3), ('Fish&Chips', 4)]",630.0,-37.808851399999995,144.98326269999998,0,7.941,16.3824422
ORDI05987,2018-07-08,14:15:12,Lunch,NS,"[('Salad', 4), ('Chicken', 4)]",196.8,-37.8093149,145.01362450000002,0,10.465,18.2142826
ORDX00815,2018-05-21,12:33:48,Lunch,BK,"[('Salad', 3), ('Fries', 4), ('Steak', 8), ('Chicken', 4), ('Burger', 2)]",649.6,-37.8056686,144.9572478,0,7.968999999999999,14.151643300000002
ORDB06869,2018-02-17,09:31:16,Breakfast,TP,"[('Coffee', 6), ('Eggs', 2)]",89.0,-37.8039715,144.95001509999997,0,9.988999999999999,14.337016
ORDK09716,2018-08-12,15:26:11,Lunch,BK,"[('Steak', 9), ('Fries', 7)]",489.0,-37.8127465,144.9884014,0,5.422000000000001,12.964853399999999
ORDK00379,2018-09-10,16:16:54,Dinner,BK,"[('Fish&Chips', 1), ('Pasta', 4), ('Salmon', 10)]",555.0,-37.820783,144.94864730000003,0,9.219,16.7109565
ORDK00672,2018-02-10,09:10:59,Breakfast,BK,"[('Coffee', 6), ('Eggs', 8), ('Pancake', 5)]",342.25,-37.8098938,144.96659630000002,0,7.21,15.0856132
ORDA01520,2018-06-21,13:34:38,Lunch,BK,"[('Steak', 1), ('Fries', 10)]",165.0,-37.799822,144.9620769,0,8.201,14.2503446
ORDX09682,2018-06-08,13:14:21,Lunch,BK,"[('Burger', 5), ('Chicken', 8)]",411.0,-37.804626,144.95133930000003,0,8.583,14.6042267
ORDB09002,2018-01-15,08:20:16,Breakfast,TP,"[('Cereal', 2), ('Coffee', 1)]",49.5,-37.8153797,144.92251059999998,1,12.267000000000001,7.6764106
ORDX02801,2018-12-14,19:29:34,Dinner,BK,"[('Shrimp', 5), ('Pasta', 3)]",352.5,-37.8010036,144.9628949,0,8.058,14.8551426
ORDI09913,2018-03-22,10:32:06,Breakfast,NS,"[('Coffee', 9), ('Cereal', 7)]",214.5,-37.8189399,144.9626801,0,8.726,6.86487077060626
ORDY00947,2018-12-22,19:49:51,Dinner,TP,"[('Pasta', 5)]",137.5,-37.818014399999996,144.9470579,0,9.27,14.9027832
ORDA09589,2018-11-18,18:38:52,Dinner,BK,"[('Fish&Chips', 3), ('Pasta', 9), ('Salmon', 6), ('Shrimp', 5)]",868.5,-37.8140479,144.93599430000003,0,10.207,19.4216254
ORDX06497,2018-01-13,08:20:16,Breakfast,BK,"[('Eggs', 4), ('Coffee', 8), ('Cereal', 9)]",337.0,-37.8139995,144.93967130000001,1,9.731,8.7055416
ORDC02605,2018-01-10,08:10:08,Breakfast,NS,"[('Pancake', 8), ('Eggs', 10), ('Coffee', 5)]",451.5,-37.8067847,144.9570032,1,8.19,6.434475
ORDY05419,2018-06-01,12:54:05,Lunch,TP,"[('Steak', 1), ('Fries', 2), ('Chicken', 5)]",229.0,-37.8030593,144.95008769999998,0,9.981,13.541106400000002
ORDJ07282,2018-05-14,12:23:39,Lunch,TP,"[('Steak', 8), ('Salad', 2), ('Chicken', 7), ('Burger', 4)]",742.4,-37.797684000000004,144.94127969999997,0,11.02,13.7140346
ORDB01908,2018-02-17,09:31:16,Breakfast,TP,"[('Eggs', 9), ('Coffee', 10), ('Pancake', 10), ('Cereal', 8)]",683.5,-37.8219252,144.93758269999998,0,9.767000000000001,13.627232699999999
ORDX05034,2018-03-06,10:01:41,Breakfast,BK,"[('Eggs', 9), ('Coffee', 6)]",243.0,-37.816187899999996,144.982733,0,6.247999999999999,5.529492582748124
ORDI06802,2018-03-04,10:01:41,Breakfast,NS,"[('Eggs', 2), ('Pancake', 7)]",213.75,-37.801167299999996,144.968491,0,6.3,13.290774800000003
ORDC06752,2018-08-01,14:55:46,Lunch,NS,"[('Steak', 3), ('Burger', 1)]",166.0,-37.8075427,144.9479927,0,8.734,14.4797363
ORDJ05655,2018-06-21,13:34:38,Lunch,BK,"[('Chicken', 6), ('Steak', 1), ('Salad', 8), ('Fries', 3)]",410.6,-37.8046849,144.9446115,0,10.074,16.07901361768893
ORDB10148,2018-08-18,15:36:20,Lunch,TP,"[('Fries', 1), ('Burger', 3)]",105.0,-37.8104777,145.0032768,0,11.341,16.0767506
ORDJ00123,2018-01-11,08:10:08,Breakfast,TP,"[('Eggs', 7), ('Coffee', 1)]",161.5,-37.8044762,144.9172294,1,12.267999999999999,6.6752175000000005
ORDJ04207,2018-11-13,18:28:43,Dinner,TP,"[('Pasta', 8), ('Fish&Chips', 2)]",290.0,-37.805029100000006,144.9779475,0,10.357000000000001,14.505220199999998
ORDK04538,2018-09-03,16:06:45,Dinner,BK,"[('Pasta', 8), ('Salmon', 7), ('Shrimp', 8)]",939.0,-37.8132619,144.9385342,0,9.849,16.9065335
ORDA05684,2018-11-25,18:49:00,Dinner,BK,"[('Fish&Chips', 9), ('Salmon', 8)]",643.0,-37.820645500000005,144.9487556,0,9.204,18.545206
ORDB03640,2018-05-26,12:43:56,Lunch,TP,"[('Salad', 5), ('Chicken', 9)]",374.0,-37.8038829,144.9584513,0,9.257,14.1824818
ORDY07093,2018-05-12,12:13:31,Lunch,TP,"[('Chicken', 10), ('Salad', 5)]",406.0,-37.8007651,144.95855480000003,0,9.656,14.924192399999999
ORDA02335,2018-01-25,08:40:33,Breakfast,BK,"[('Cereal', 2)]",42.0,-37.800352600000004,144.94435190000002,0,9.326,14.4498084
ORDA01911,2018-04-12,11:12:40,Breakfast,BK,"[('Eggs', 10), ('Pancake', 3), ('Cereal', 2)]",334.75,-37.8240744,144.98875769999998,0,6.3629999999999995,11.3239302
ORDX05731,2018-07-22,14:35:29,Lunch,BK,"[('Burger', 7), ('Fries', 4), ('Salad', 9)]",419.79999999999995,-37.8126386,144.97358269999998,0,6.836,15.1977089
ORDJ01394,2018-08-23,15:46:28,Lunch,TP,"[('Salad', 7), ('Fries', 9), ('Burger', 9), ('Chicken', 2), ('Steak', 4)]",751.4,-37.8142705,144.935746,0,10.603,13.976758499999999
ORDY04216,2018-09-03,16:06:45,Dinner,TP,"[('Pasta', 4), ('Shrimp', 8)]",542.0,-37.8070107,144.9490826,0,9.633,13.8151062
ORDI05442,2018-05-12,12:13:31,Lunch,NS,"[('Fries', 3), ('Burger', 5), ('Steak', 2)]",281.0,-37.8023249,144.9622158,0,7.013999999999999,7.209123591361082
ORDC01260,2018-04-15,11:22:49,Breakfast,NS,"[('Coffee', 3), ('Pancake', 2)]",71.0,-37.8208598,144.94721230000002,0,9.835,8.402775652305085
ORDJ00952,2018-09-08,16:16:54,Dinner,TP,"[('Shrimp', 4), ('Salmon', 6), ('Pasta', 2)]",517.0,-37.8084848,144.925964,0,11.445,16.4948774
ORDJ06244,2018-09-10,16:16:54,Dinner,BK,"[('Pasta', 8), ('Salmon', 7), ('Shrimp', 10)]",1047.0,-37.8073806,144.9981959,0,11.140999999999998,18.194976933101657
ORDX00898,2018-01-21,08:40:33,Breakfast,BK,"[('Pancake', 3), ('Eggs', 9), ('Cereal', 1)]",291.75,-37.8039708,144.9764153,0,6.723,14.2520866
ORDA00649,2018-09-15,16:27:02,Dinner,BK,"[('Salmon', 8), ('Pasta', 8), ('Shrimp', 10)]",1088.0,-37.8214592,144.9738626,0,7.62,16.8690983
ORDB03475,2018-11-17,18:38:52,Dinner,TP,"[('Fish&Chips', 2), ('Pasta', 7), ('Shrimp', 5)]",532.5,-37.8096475,144.9480507,0,9.638,15.1541223
ORDJ02397,2018-12-26,19:49:51,Dinner,TP,"[('Fish&Chips', 3), ('Pasta', 10)]",380.0,-37.803484999999995,144.9654717,0,9.487,13.285106099999998
ORDB09340,2018-09-01,16:06:45,Dinner,TP,"[('Pasta', 4), ('Salmon', 10), ('Fish&Chips', 1)]",555.0,-37.8155523,144.9581987,0,8.191,14.2806011
ORDB01126,2018-09-07,16:16:54,Dinner,TP,"[('Pasta', 6), ('Fish&Chips', 6), ('Shrimp', 10), ('Salmon', 10)]",1325.0,-37.8204562,144.97687380000002,0,8.758,13.0218603
ORDC00854,2018-01-11,08:20:16,Breakfast,NS,"[('Coffee', 5), ('Eggs', 2), ('Pancake', 10)]",324.0,-37.8163883,144.9838774,1,8.683,6.8838284
ORDX01868,2018-09-13,16:27:02,Dinner,BK,"[('Pasta', 8), ('Shrimp', 3), ('Salmon', 7), ('Fish&Chips', 8)]",949.0,-37.8158434,144.9342969,0,10.273,8.640669231551737
ORDB10253,2018-02-26,09:51:32,Breakfast,TP,"[('Pancake', 7), ('Cereal', 7)]",316.75,-37.8156369,144.96573419999999,0,7.928999999999999,10.4182793
ORDX06645,2018-01-11,08:20:16,Breakfast,BK,"[('Eggs', 2), ('Coffee', 8), ('Pancake', 3)]",176.75,-37.8171703,144.9645963,1,7.695,6.2426463
ORDY07911,2018-04-23,11:43:05,Breakfast,TP,"[('Cereal', 9), ('Eggs', 9), ('Coffee', 2)]",402.0,-37.8187631,144.95340359999997,0,8.509,10.8323438
ORDK01017,2018-09-05,16:06:45,Dinner,BK,"[('Pasta', 8), ('Salmon', 2)]",302.0,-37.8187161,144.91680549999998,0,11.97,18.479812600000002
ORDA02623,2018-12-14,19:29:34,Dinner,BK,"[('Fish&Chips', 1), ('Pasta', 3), ('Shrimp', 4)]",333.5,-37.814546500000006,145.0142926,0,3.763,10.5040891
ORDJ09927,2018-05-08,12:13:31,Lunch,NS,"[('Chicken', 2), ('Salad', 2), ('Burger', 1), ('Fries', 6), ('Steak', 8)]",561.4,-37.8012086,144.97001699999998,0,9.878,15.454536504080643
ORDX08889,2018-11-21,18:38:52,Dinner,BK,"[('Pasta', 3), ('Fish&Chips', 9)]",397.5,-37.808314,144.97613090000002,0,6.267,12.8901638
ORDB00024,2018-05-17,12:23:39,Lunch,TP,"[('Burger', 9), ('Chicken', 10), ('Salad', 4), ('Fries', 5)]",727.8,-37.8196069,144.9634763,0,7.572,11.503510400000001
ORDK10739,2018-03-30,10:52:23,Breakfast,BK,"[('Pancake', 4), ('Eggs', 4), ('Cereal', 9), ('Coffee', 10)]",449.0,-37.8102571,144.9613166,0,7.622999999999999,12.283432800000002
ORDJ06480,2018-09-05,16:06:45,Dinner,TP,"[('Shrimp', 10), ('Salmon', 9), ('Pasta', 6)]",1074.0,-37.8152655,144.9277894,0,11.734000000000002,15.367370699999999
ORDZ09991,2018-10-08,17:17:44,Dinner,NS,"[('Shrimp', 3), ('Fish&Chips', 5), ('Salmon', 6)]",583.0,-37.817582,144.95909519999998,0,8.716000000000001,14.536083999999999
ORDX04071,2018-04-26,11:43:05,Breakfast,BK,"[('Cereal', 4), ('Coffee', 1), ('Eggs', 7), ('Pancake', 9)]",463.75,-37.818512899999995,144.9671482,0,7.562,12.717406
ORDJ11100,2018-11-19,18:38:52,Dinner,TP,"[('Fish&Chips', 4), ('Shrimp', 8)]",572.0,-37.81185120000001,145.00899740000003,0,11.799000000000001,15.2958038
ORDK05488,2018-10-04,17:07:36,Dinner,BK,"[('Fish&Chips', 4), ('Shrimp', 2), ('Salmon', 6)]",494.0,-37.808675,144.9423368,0,9.78,16.9018418
ORDK04180,2018-11-11,18:28:43,Dinner,BK,"[('Salmon', 6), ('Shrimp', 8), ('Fish&Chips', 3), ('Pasta', 1)]",810.5,-37.8025629,144.96104019999999,0,7.952000000000001,17.0602444
ORDA00919,2018-10-14,17:27:53,Dinner,BK,"[('Pasta', 7), ('Fish&Chips', 2), ('Salmon', 10)]",672.5,-37.8118847,144.99965580000003,0,4.256,13.7737174
ORDI09274,2018-10-12,17:27:53,Dinner,NS,"[('Fish&Chips', 8), ('Shrimp', 6), ('Salmon', 3)]",727.0,-37.8086535,144.9443381,0,9.283,15.1472299
ORDB08245,2018-07-31,14:55:46,Lunch,TP,"[('Steak', 7), ('Chicken', 5)]",475.0,-37.811027200000005,144.9900001,0,10.039,13.9260471
ORDB08296,2018-09-08,16:16:54,Dinner,TP,"[('Pasta', 4), ('Salmon', 10), ('Fish&Chips', 8), ('Shrimp', 3)]",962.0,-37.8189857,144.9738619,0,8.187999999999999,14.0010025
ORDC00519,2018-11-04,18:08:27,Dinner,NS,"[('Salmon', 5), ('Pasta', 4), ('Fish&Chips', 3)]",420.0,-37.821430799999995,144.9473954,0,9.875,17.6185638
ORDB10679,2018-02-20,09:31:16,Breakfast,TP,"[('Pancake', 4), ('Coffee', 8), ('Eggs', 10)]",377.0,-37.803672600000006,144.9556161,0,9.497,12.0144479
ORDA01494,2018-05-19,12:33:48,Lunch,NS,"[('Salad', 5), ('Steak', 6)]",356.0,-37.8026086,144.957187,0,8.275,17.194561
ORDJ00581,2018-12-26,19:49:51,Dinner,TP,"[('Salmon', 7), ('Shrimp', 6)]",611.0,-37.8049802,144.9482313,0,9.794,13.476031900000002
ORDA00745,2018-03-26,10:42:15,Breakfast,BK,"[('Coffee', 2), ('Eggs', 6)]",147.0,-37.805532899999996,144.9734372,0,6.7829999999999995,5.811057433813233
ORDA04189,2018-12-22,19:49:51,Dinner,NS,"[('Shrimp', 2), ('Pasta', 1), ('Fish&Chips', 2)]",205.5,-37.8096824,144.97259330000003,0,6.728,15.6308179
ORDJ02535,2018-08-02,15:05:54,Lunch,BK,"[('Steak', 2), ('Fries', 6), ('Salad', 4), ('Chicken', 9), ('Burger', 2)]",580.8,-37.7996836,144.9550948,0,9.827,15.819026633714788
ORDK09348,2018-02-22,09:41:24,Breakfast,BK,"[('Pancake', 5), ('Eggs', 8)]",297.25,-37.7974545,144.926022,0,11.236,16.7599427
ORDB10505,2018-05-02,12:03:22,Lunch,TP,"[('Salad', 4), ('Fries', 8)]",164.8,-37.8215102,144.9307248,0,10.405999999999999,13.425479000000001
ORDY00292,2018-06-05,13:04:13,Lunch,TP,"[('Chicken', 5), ('Burger', 8), ('Steak', 2), ('Salad', 4)]",566.8,-37.819738,144.96007749999998,0,7.697,11.528130599999999
ORDX03648,2018-07-10,14:15:12,Lunch,BK,"[('Burger', 9), ('Steak', 10), ('Salad', 3), ('Chicken', 4), ('Fries', 7)]",992.6,-37.824511,144.9828365,0,7.057,12.3218154
